date,close,usd_close,selic
2025-03-11,123507.0,5.8103,13.25
2025-03-10,124519.0,5.8555,13.25
2025-03-07,125035.0,5.7874,13.25
2025-03-06,123358.0,5.7639,13.25
2025-03-05,123047.0,5.7394,13.25
2025-02-28,122799.0,5.8852,13.25
2025-02-27,124799.0,5.8401,13.25
2025-02-26,124769.0,5.8035,13.25
2025-02-25,12598.0,5.7396,13.25
2025-02-24,125401.0,5.7785,13.25
2025-02-21,127128.0,5.732,13.25
2025-02-20,127601.0,5.7029,13.25
2025-02-19,127309.0,5.7214,13.25
2025-02-18,128532.0,5.6892,13.25
2025-02-17,128552.0,5.713,13.25
2025-02-14,128219.0,5.7042,13.25
2025-02-13,12485.0,5.7669,13.25
2025-02-12,12438.0,5.7649,13.25
2025-02-11,126522.0,5.7635,13.25
2025-02-10,125572.0,5.7874,13.25
2025-02-07,124619.0,5.8058,13.25
2025-02-06,126225.0,5.7617,13.25
2025-02-05,125534.0,5.7973,13.25
2025-02-04,125147.0,5.754,13.25
2025-02-03,12597.0,5.8066,13.25
2025-01-31,126135.0,5.841,13.25
2025-01-30,126913.0,5.874,13.25
2025-01-29,123432.0,5.8563,13.25
2025-01-28,124056.0,5.8571,12.25
2025-01-27,124862.0,5.8926,12.25
2025-01-24,122447.0,5.9109,12.25
2025-01-23,122483.0,5.9243,12.25
2025-01-22,122972.0,5.9415,12.25
2025-01-21,123338.0,6.022,12.25
2025-01-20,122855.0,6.0315,12.25
2025-01-17,12235.0,6.0704,12.25
2025-01-16,121234.0,6.0499,12.25
2025-01-15,12265.0,6.0098,12.25
2025-01-14,119299.0,6.0559,12.25
2025-01-13,119007.0,6.0944,12.25
2025-01-10,118856.0,6.1053,12.25
2025-01-09,119781.0,6.0364,12.25
2025-01-08,119625.0,6.1055,12.25
2025-01-07,121163.0,6.101,12.25
2025-01-06,120022.0,6.1152,12.25
2025-01-03,118533.0,6.1798,12.25
2025-01-02,120125.0,6.1519,12.25
2024-12-30,120283.0,6.1778,12.25
2024-12-27,120269.0,6.1964,12.25
2024-12-26,121078.0,6.1828,12.25
2024-12-23,120767.0,6.1939,12.25
2024-12-20,122102.0,6.0853,12.25
2024-12-19,121188.0,6.1525,12.25
2024-12-18,120772.0,6.2896,12.25
2024-12-17,124698.0,6.1048,12.25
2024-12-16,12356.0,6.1479,12.25
2024-12-13,124612.0,6.0419,12.25
2024-12-12,126042.0,5.9915,12.25
2024-12-11,129593.0,5.9543,12.25
2024-12-10,128228.0,6.045,11.25
2024-12-09,12721.0,6.0788,11.25
2024-12-06,125946.0,6.0894,11.25
2024-12-05,127858.0,6.0113,11.25
2024-12-04,126087.0,6.0409,11.25
2024-12-03,126139.0,6.044,11.25
2024-12-02,125236.0,6.058,11.25
2024-11-29,125668.0,5.973,11.25
2024-11-28,12461.0,6.0142,11.25
2024-11-27,127669.0,5.9377,11.25
2024-11-26,129922.0,5.8095,11.25
2024-11-25,129036.0,5.7983,11.25
2024-11-22,129126.0,5.801,11.25
2024-11-21,126922.0,5.8144,11.25
2024-11-19,128197.0,5.7694,11.25
2024-11-18,127768.0,5.7473,11.25
2024-11-14,127792.0,5.789,11.25
2024-11-13,127734.0,5.8061,11.25
2024-11-12,127698.0,5.749,11.25
2024-11-11,127874.0,5.7559,11.25
2024-11-08,12783.0,5.7376,11.25
2024-11-07,129682.0,5.6923,11.25
2024-11-06,130341.0,5.6793,11.25
2024-11-05,130661.0,5.7508,10.75
2024-11-04,130515.0,5.7916,10.75
2024-11-01,128121.0,5.8681,10.75
2024-10-31,129713.0,5.7867,10.75
2024-10-30,130639.0,5.763,10.75
2024-10-29,13073.0,5.7604,10.75
2024-10-28,131213.0,5.7096,10.75
2024-10-25,129893.0,5.7073,10.75
2024-10-24,130067.0,5.6643,10.75
2024-10-23,129233.0,5.6884,10.75
2024-10-22,129951.0,5.6894,10.75
2024-10-21,130362.0,5.6939,10.75
2024-10-18,130499.0,5.6912,10.75
2024-10-17,130793.0,5.6546,10.75
2024-10-16,13175.0,5.6652,10.75
2024-10-15,131043.0,5.6502,10.75
2024-10-14,131005.0,5.5928,10.75
2024-10-11,129992.0,5.6126,10.75
2024-10-10,130353.0,5.5821,10.75
2024-10-09,129962.0,5.5941,10.75
2024-10-08,131512.0,5.5349,10.75
2024-10-07,132018.0,5.49,10.75
2024-10-04,131792.0,5.4555,10.75
2024-10-03,131672.0,5.4759,10.75
2024-10-02,133515.0,5.4407,10.75
2024-10-01,132495.0,5.4368,10.75
2024-09-30,131816.0,5.4482,10.75
2024-09-27,13273.0,5.4329,10.75
2024-09-26,13301.0,5.4375,10.75
2024-09-25,131586.0,5.4774,10.75
2024-09-24,132156.0,5.4547,10.75
2024-09-23,130568.0,5.5364,10.75
2024-09-20,131065.0,5.5103,10.75
2024-09-19,133123.0,5.4263,10.75
2024-09-18,133748.0,5.4612,10.75
2024-09-17,13496.0,5.4825,10.5
2024-09-16,135118.0,5.51,10.5
2024-09-13,134882.0,5.564,10.5
2024-09-12,134029.0,5.6276,10.5
2024-09-11,134677.0,5.6618,10.5
2024-09-10,13432.0,5.6582,10.5
2024-09-09,134737.0,5.5842,10.5
2024-09-06,134572.0,5.599,10.5
2024-09-05,136502.0,5.5741,10.5
2024-09-04,136111.0,5.6399,10.5
2024-09-03,134353.0,5.6454,10.5
2024-09-02,134906.0,5.6177,10.5
2024-08-30,136004.0,5.6103,10.5
2024-08-29,136041.0,5.6266,10.5
2024-08-28,137344.0,5.5644,10.5
2024-08-27,136776.0,5.5082,10.5
2024-08-26,136889.0,5.495,10.5
2024-08-23,135608.0,5.4863,10.5
2024-08-22,135173.0,5.5834,10.5
2024-08-21,136464.0,5.4858,10.5
2024-08-20,136087.0,5.478,10.5
2024-08-19,135778.0,5.4121,10.5
2024-08-16,133953.0,5.4753,10.5
2024-08-15,134153.0,5.4827,10.5
2024-08-14,133318.0,5.473,10.5
2024-08-13,132398.0,5.4538,10.5
2024-08-12,131116.0,5.4974,10.5
2024-08-09,130615.0,5.5064,10.5
2024-08-08,128661.0,5.5493,10.5
2024-08-07,127514.0,5.6341,10.5
2024-08-06,126267.0,5.6623,10.5
2024-08-05,12527.0,5.7238,10.5
2024-08-02,125854.0,5.7273,10.5
2024-08-01,127395.0,5.7483,10.5
2024-07-31,127652.0,5.65,10.5
2024-07-30,126139.0,5.6121,10.5
2024-07-29,126954.0,5.6159,10.5
2024-07-26,127492.0,5.6557,10.5
2024-07-25,125954.0,5.6442,10.5
2024-07-24,126423.0,5.6536,10.5
2024-07-23,12659.0,5.5846,10.5
2024-07-22,12786.0,5.5779,10.5
2024-07-19,127616.0,5.5952,10.5
2024-07-18,127652.0,5.546,10.5
2024-07-17,12945.0,5.4821,10.5
2024-07-16,12911.0,5.4286,10.5
2024-07-15,129321.0,5.4448,10.5
2024-07-12,128897.0,5.4285,10.5
2024-07-11,128294.0,5.4381,10.5
2024-07-10,127218.0,5.4144,10.5
2024-07-09,127108.0,5.4222,10.5
2024-07-08,126548.0,5.4699,10.5
2024-07-05,126267.0,5.4592,10.5
2024-07-04,126164.0,5.4887,10.5
2024-07-03,125662.0,5.5563,10.5
2024-07-02,124787.0,5.6777,10.5
2024-07-01,124718.0,5.6603,10.5
2024-06-28,123907.0,5.5925,10.5
2024-06-27,124308.0,5.5019,10.5
2024-06-26,122641.0,5.5194,10.5
2024-06-25,122331.0,5.4509,10.5
2024-06-24,122637.0,5.3928,10.5
2024-06-21,121341.0,5.4302,10.5
2024-06-20,120446.0,5.4483,10.5
2024-06-19,120261.0,5.4362,10.5
2024-06-18,11963.0,5.4359,10.5
2024-06-17,119138.0,5.4195,10.5
2024-06-14,119662.0,5.3757,10.5
2024-06-13,119568.0,5.3636,10.5
2024-06-12,119936.0,5.4123,10.5
2024-06-11,121635.0,5.3662,10.5
2024-06-10,12076.0,5.3547,10.5
2024-06-07,120767.0,5.3448,10.5
2024-06-06,122899.0,5.256,10.5
2024-06-05,121407.0,5.2964,10.5
2024-06-04,121802.0,5.2861,10.5
2024-06-03,122032.0,5.2467,10.5
2024-05-31,122098.0,5.2443,10.5
2024-05-29,122707.0,5.2018,10.5
2024-05-28,12378.0,5.1611,10.5
2024-05-27,124496.0,5.1708,10.5
2024-05-24,124306.0,5.166,10.5
2024-05-23,124729.0,5.1442,10.5
2024-05-22,12565.0,5.1503,10.5
2024-05-21,127412.0,5.1225,10.5
2024-05-20,127751.0,5.1033,10.5
2024-05-17,128151.0,5.1031,10.5
2024-05-16,128284.0,5.1288,10.5
2024-05-15,128028.0,5.1373,10.5
2024-05-14,128515.0,5.1299,10.5
2024-05-13,128155.0,5.1511,10.5
2024-05-10,1276.0,5.1584,10.5
2024-05-09,128188.0,5.1412,10.5
2024-05-08,129481.0,5.0909,10.5
2024-05-07,12921.0,5.0707,10.75
2024-05-06,128466.0,5.0758,10.75
2024-05-03,128509.0,5.0722,10.75
2024-05-02,127122.0,5.1113,10.75
2024-04-30,125924.0,5.1934,10.75
2024-04-29,127352.0,5.1189,10.75
2024-04-26,126526.0,5.1151,10.75
2024-04-25,124646.0,5.1602,10.75
2024-04-24,124741.0,5.1457,10.75
2024-04-23,125148.0,5.126,10.75
2024-04-22,125573.0,5.168,10.75
2024-04-19,125124.0,5.2027,10.75
2024-04-18,124196.0,5.2482,10.75
2024-04-17,124171.0,5.242,10.75
2024-04-16,124389.0,5.2826,10.75
2024-04-15,125334.0,5.1846,10.75
2024-04-12,125946.0,5.1175,10.75
2024-04-11,127396.0,5.0917,10.75
2024-04-10,128054.0,5.0746,10.75
2024-04-09,12989.0,5.009,10.75
2024-04-08,128857.0,5.0268,10.75
2024-04-05,126795.0,5.0655,10.75
2024-04-04,127428.0,5.0538,10.75
2024-04-03,127318.0,5.0393,10.75
2024-04-02,127549.0,5.0576,10.75
2024-04-01,12699.0,5.0543,10.75
2024-03-28,128106.0,5.0129,10.75
2024-03-27,127691.0,4.9866,10.75
2024-03-26,126863.0,4.9808,10.75
2024-03-25,126931.0,4.9751,10.75
2024-03-22,127027.0,4.9997,10.75
2024-03-21,128159.0,4.9781,10.75
2024-03-20,129125.0,4.9691,10.75
2024-03-19,127529.0,5.0301,11.25
2024-03-18,126954.0,5.0253,11.25
2024-03-15,126742.0,4.9949,11.25
2024-03-14,12769.0,4.9895,11.25
2024-03-13,128006.0,4.97,11.25
